Name,Cuisine Type,Rating,Opening Time,Closing Time,Avg Cost Per Person (₹),Latitude,Longitude,Vegetarian/Vegan Options,Alcohol Availability,Delivery/Takeaway,Ambiance,Payment Methods,Wi-Fi Availability,Live Music,Reservation Requirement,Seating Type,Breakfast,Lunch,Dinner
The Fisherman's Wharf,Asian,4.0,07:00,23:00,1475,15.651011461425245,74.03060600499474,Yes,Yes,Yes,Beachfront,"Cash, Card, UPI",Yes,No,No,Outdoor,No,Yes,Yes
Pousada by the Beach,Indian,4.3,08:00,01:00,270,15.435776689575922,73.98714191171719,Yes,Yes,No,Rustic,"Cash, Card",Yes,Yes,No,Both,No,Yes,Yes
Thalassa,Seafood,3.6,11:00,01:00,761,15.740421887105368,74.05188493828238,Yes,No,Yes,Rooftop,"Cash, Card, UPI",Yes,No,Yes,Both,Yes,Yes,Yes
Calamari Bathe & Binge,Portuguese,3.6,10:00,23:00,1418,15.368177983621484,73.98940441823537,Yes,Yes,Yes,Fine Dining,"Cash, Card",Yes,No,No,Both,No,Yes,Yes
Vinayak Family Restaurant,Mexican,3.7,11:00,23:00,1175,15.565183035523809,73.89027264280293,Yes,Yes,Yes,Casual Dining,"Cash, Card, UPI",Yes,Yes,No,Indoor,Yes,Yes,Yes
Suzie's,Mexican,4.3,11:00,01:00,203,15.228254807248165,73.95358320452402,Yes,Yes,Yes,Casual Dining,Cash Only,No,Yes,Yes,Indoor,No,No,Yes
A Reverie,Indian,4.0,07:00,01:00,238,15.312964852684201,73.94083094057532,Yes,No,No,Cafe-style,UPI Only,Yes,No,No,Both,No,No,Yes
Mum's Kitchen,Fusion,3.6,11:00,01:00,373,15.734526194905701,73.79002576523578,Yes,Yes,No,Garden,Cash Only,Yes,No,No,Indoor,Yes,Yes,Yes
Cafe Al Fresco by Cantina Bodega,Vegetarian,3.7,11:00,22:00,1963,15.766361030258752,74.04223846384318,Yes,No,Yes,Lounge,"Cash, Card",Yes,No,Yes,Outdoor,Yes,No,Yes
Antares Restaurant & Beach Club,Mexican,4.5,07:00,01:00,1724,15.703335967677997,73.71700501117897,No,Yes,Yes,Beachfront,"Cash, Card",Yes,No,No,Indoor,No,Yes,Yes
Zeebop by the Sea,Vegetarian,3.7,09:00,23:00,572,15.236556455945122,74.03973074226961,Yes,Yes,Yes,Fine Dining,"Cash, Card",No,No,No,Both,Yes,Yes,Yes
Spice Goa,Mexican,4.9,08:00,22:00,970,15.253877732232443,73.90313377760613,Yes,No,No,Lounge,"Cash, Card, UPI",No,No,Yes,Outdoor,Yes,Yes,No
The Black Sheep Bistro,Portuguese,5.0,09:00,23:00,1824,15.620841439689137,74.1999069407703,Yes,Yes,Yes,Casual Dining,Cash Only,Yes,No,No,Indoor,No,Yes,No
Martin's Corner,Vegetarian,4.4,11:00,00:00,1415,15.543989775697026,74.14682282079005,Yes,Yes,Yes,Casual Dining,"Cash, Card",Yes,No,No,Outdoor,Yes,Yes,Yes
The Lazy Goose,Italian,3.7,08:00,00:00,1911,15.365204317385627,73.80329063257808,No,No,No,Garden,"Card, UPI",No,No,Yes,Indoor,No,Yes,Yes
Gunpowder,Mexican,4.1,09:00,01:00,801,15.577321659250403,74.03194176038838,No,No,No,Beachfront,"Card, UPI",Yes,No,No,Indoor,No,Yes,Yes
Go With The Flow,Continental,3.6,10:00,01:00,686,15.799186404010586,73.88348914085333,Yes,Yes,No,Rustic,"Cash, Card",Yes,No,Yes,Outdoor,No,Yes,Yes
Tuscany Gardens,Goan,3.6,07:00,22:00,1061,15.29922599729391,73.99276626370293,Yes,Yes,No,Fine Dining,Cash Only,No,No,No,Both,No,Yes,No
Ritz Classic,Asian,4.7,07:00,23:00,1294,15.723941766760271,74.04580343406464,No,Yes,Yes,Casual Dining,UPI Only,Yes,No,Yes,Outdoor,No,Yes,Yes
Copperleaf,Asian,3.7,10:00,01:00,1191,15.508106417875867,73.9857770366369,Yes,No,Yes,Rooftop,UPI Only,No,Yes,No,Both,No,Yes,Yes
The Mango Tree,Continental,4.0,11:00,01:00,1025,15.743909405222611,73.70970248953944,Yes,Yes,Yes,Cafe-style,UPI Only,Yes,No,No,Outdoor,Yes,Yes,Yes
Bay 15,Vegetarian,4.7,11:00,01:00,1740,15.469273709694116,73.70992856255627,Yes,Yes,No,Lounge,"Cash, Card",Yes,No,Yes,Both,Yes,Yes,Yes
Britto's,Indian,4.4,07:00,22:00,1229,15.456501786630653,73.97522249011381,Yes,Yes,Yes,Lounge,UPI Only,No,Yes,No,Both,Yes,Yes,Yes
Mojigao,Italian,4.3,11:00,00:00,733,15.533668037857062,73.90692908346732,Yes,No,Yes,Rooftop,"Cash, Card, UPI",No,No,Yes,Both,Yes,No,Yes
The Rice Mill,Fusion,3.8,11:00,23:00,1839,15.346244088459292,73.9375958653889,Yes,Yes,No,Casual Dining,"Card, UPI",Yes,No,No,Outdoor,No,Yes,Yes
Fat Fish,Mexican,3.9,07:00,01:00,956,15.554123714927094,74.00377374107556,Yes,Yes,Yes,Beachfront,UPI Only,Yes,No,Yes,Both,Yes,Yes,Yes
Purple Martini,Portuguese,4.0,08:00,22:00,450,15.749206494997326,74.19988333868528,Yes,Yes,Yes,Cafe-style,"Cash, Card, UPI",No,No,No,Both,No,Yes,Yes
Sublime,Asian,4.3,07:00,23:00,1446,15.793339071674582,73.87321243318225,Yes,Yes,No,Rooftop,"Cash, Card, UPI",No,No,Yes,Both,No,Yes,Yes
Ciao Bella,Asian,4.1,09:00,23:00,876,15.556157565445174,73.9562728341887,Yes,Yes,No,Rooftop,Cash Only,No,Yes,Yes,Both,No,Yes,Yes
Jardim a Mar,Vegetarian,4.9,10:00,23:00,1978,15.676620236008779,73.99781321642897,No,No,No,Casual Dining,UPI Only,Yes,Yes,Yes,Both,No,No,Yes
Beach Street Eco Resort,Continental,4.3,10:00,23:00,1114,15.641685882215201,73.84800586949146,Yes,Yes,Yes,Garden,UPI Only,No,Yes,No,Indoor,No,No,Yes
House of Lloyds,Mexican,3.6,09:00,23:00,634,15.40173980481728,73.80658082706886,Yes,Yes,Yes,Rooftop,"Cash, Card, UPI",Yes,No,No,Both,Yes,Yes,Yes
Waterfront Terrace & Bar,Asian,3.9,08:00,22:00,885,15.66239040883148,73.72700759039549,Yes,No,Yes,Rooftop,Cash Only,Yes,No,No,Both,No,No,No
Habanero,Fusion,4.7,08:00,00:00,490,15.715622769383534,74.18055715209152,No,No,No,Rooftop,UPI Only,Yes,No,No,Outdoor,No,Yes,Yes
Navtara,Mexican,4.8,10:00,00:00,857,15.707050750409191,74.13810264651856,No,Yes,Yes,Cafe-style,"Cash, Card, UPI",Yes,No,No,Both,No,Yes,Yes
Shamba,Portuguese,4.7,07:00,23:00,508,15.34379010115021,73.92214702300434,Yes,No,No,Lounge,Cash Only,Yes,No,No,Both,Yes,Yes,Yes
Michael's Corner,Continental,3.8,07:00,22:00,452,15.44296440685015,73.71349411614656,Yes,No,No,Cafe-style,Cash Only,Yes,No,No,Outdoor,Yes,No,Yes
Black Vanilla,Asian,4.5,10:00,01:00,513,15.317791271710114,73.8040920983094,No,Yes,Yes,Beachfront,"Card, UPI",No,Yes,No,Indoor,No,Yes,Yes
Artjuna,Mexican,4.5,09:00,00:00,224,15.590876291324127,73.75728889640428,Yes,Yes,No,Cafe-style,Cash Only,No,No,No,Both,No,Yes,Yes
Anand Sagar,Continental,3.5,11:00,01:00,1748,15.486955070776991,74.05244176267554,Yes,Yes,No,Rooftop,"Cash, Card",No,Yes,Yes,Both,Yes,Yes,No
La Plage,Fusion,4.7,11:00,22:00,1363,15.485818667129754,74.17219729791064,Yes,No,No,Lounge,UPI Only,No,No,No,Both,No,Yes,Yes
Patio 23,Vegetarian,4.9,10:00,00:00,370,15.797417435325645,73.87293120683357,No,Yes,No,Fine Dining,UPI Only,Yes,Yes,No,Indoor,No,Yes,Yes
